# BSFC map [g/kWh]
# Standard carbureted Super Cub 50 service-manual aligned profile.
# Best economy region is intentionally placed around 6500-7000 rpm and load 0.8-1.0.
# Full-load BSFC near peak power is anchored from thermal-efficiency estimates.
# 8000+ rpm is treated as over-rev / degraded efficiency.
rpm,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
1000,1400,1250,1100,980,900,850,820,800,820,860,920
1500,1200,1050,920,820,760,720,700,690,700,740,800
2000,1050,900,780,700,650,620,600,590,600,630,690
2500,950,800,690,620,580,550,535,525,535,565,620
3000,850,720,620,560,520,495,480,470,480,510,560
3500,780,660,570,515,480,455,440,430,440,470,520
4000,720,610,530,485,450,425,410,400,410,440,490
4500,680,580,500,455,420,395,380,365,365,380,410
5000,650,550,475,430,398,375,355,340,330,330,350
5500,630,530,455,410,380,355,335,315,300,295,300
6000,620,515,440,395,365,340,320,305,292,288,292
6500,620,510,430,385,355,330,312,298,286,282,286
6800,630,515,430,382,352,328,310,296,284,282,286
7000,650,535,450,400,370,345,325,308,292,286,290
7500,710,600,515,465,430,400,375,345,315,300,295
7800,790,680,590,540,500,465,440,410,380,355,340
8000,920,820,720,660,620,590,565,540,520,510,520
8200,1150,1020,900,820,760,730,710,700,720,780,860
